Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
2,1,1,0,0,2,6,9,0,15,4,1,4,3,4,3,4,2,4,3,3,3,2,1,32,3.0,4,2,2.8,0.4736842105263158
2,1,1,0,0,0,38,15,13,15,1,4,3,1,1,4,4,3,2,4,1,2,0,1,0,3.0,5,2,2.8,0.4736842105263158
2,1,1,0,1,0,20,26,10,6,2,2,2,3,1,2,2,3,3,3,2,2,3,1,19,3.0,18,0,2.8,0.4736842105263158
2,1,1,0,1,2,37,15,7,20,1,3,2,3,1,5,4,1,4,1,5,0,0,1,0,4.0,5,2,2.8,0.4736842105263158
2,1,1,0,0,1,44,17,4,27,5,5,3,3,3,3,3,5,3,5,3,3,4,1,0,5.0,5,2,2.8,0.4736842105263158
2,1,1,1,0,2,30,12,12,21,5,3,3,5,3,5,5,5,5,5,5,2,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
4,5,2,0,1,2,4,9,0,15,3,4,5,4,4,4,4,4,4,5,5,0,4,1,17,4.0,5,2,3.3,0.7368421052631579
0,1,0,1,0,2,26,24,18,4,5,3,5,4,2,4,5,5,3,4,2,3,0,1,50,4.0,5,2,2.25,0.1842105263157895
1,0,1,0,1,0,17,25,18,27,3,4,5,3,2,3,2,4,2,4,4,0,2,1,49,4.0,5,2,2.8,0.4736842105263158
3,0,1,0,1,2,43,24,5,30,3,1,5,3,4,5,3,3,4,2,2,0,2,1,0,3.0,5,2,2.8,0.4736842105263158
3,3,2,0,0,0,20,21,4,29,3,1,3,3,3,5,5,3,3,2,2,0,2,1,9,4.0,22,2,3.3,0.7368421052631579
1,3,1,0,1,2,43,20,7,24,2,1,2,2,2,5,5,2,2,2,3,0,2,1,0,4.0,9,2,2.8,0.4736842105263158
2,2,2,0,0,2,3,25,1,27,3,1,2,4,2,4,4,2,2,2,2,0,0,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
2,1,1,0,1,2,44,21,1,30,2,2,3,1,1,4,4,1,1,1,2,0,2,1,45,3.0,5,2,2.8,0.4736842105263158
3,0,1,2,1,0,44,25,1,28,3,2,2,2,2,5,3,2,2,2,2,0,2,1,11,4.0,5,0,2.8,0.4736842105263158
2,1,1,0,0,2,21,21,3,27,5,3,2,2,2,4,4,2,1,1,1,0,0,1,49,4.0,5,0,2.8,0.4736842105263158
1,1,0,0,1,0,12,11,15,27,5,1,1,1,1,4,3,2,2,1,1,0,0,1,49,4.0,5,2,2.25,0.1842105263157895
2,5,1,2,1,2,29,7,12,5,5,4,4,4,5,5,5,5,5,4,5,2,3,1,0,5.0,5,2,2.8,0.4736842105263158
1,2,2,1,0,2,15,2,21,5,3,4,3,5,5,5,5,5,5,5,5,3,0,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
1,1,1,0,0,0,21,25,1,11,2,1,1,1,2,5,5,3,2,2,3,0,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,2,0,0,0,2,13,25,13,16,4,1,2,1,1,5,5,2,2,2,1,3,2,1,23,3.0,5,2,2.25,0.1842105263157895
3,1,3,0,1,0,43,15,4,29,3,2,2,3,1,5,5,3,2,2,2,0,2,1,10,5.0,5,2,3.8,1.0
1,2,1,1,0,2,3,25,1,27,2,2,1,1,1,5,5,2,3,2,2,0,3,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,2,2,1,0,2,2,7,10,3,5,3,4,5,4,5,5,5,5,5,5,0,0,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
1,4,1,1,0,0,21,4,16,18,3,2,3,3,4,4,4,4,3,4,3,0,0,1,23,5.0,5,2,2.8,0.4736842105263158
0,5,1,2,1,0,30,24,23,4,4,5,4,5,4,5,5,5,5,3,5,2,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,3,1,0,1,0,20,20,7,23,2,1,2,3,1,5,5,2,2,1,1,0,2,1,10,5.0,5,2,2.8,0.4736842105263158
1,0,2,0,2,2,31,25,1,27,3,5,5,4,3,5,3,4,5,4,4,0,0,1,0,4.0,5,2,3.3,0.7368421052631579
0,2,2,0,0,0,25,7,10,9,4,4,4,5,4,5,5,5,5,3,5,0,0,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
