Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
1st year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","technology, science","linkedin learning, university lms",based on interest,interactive quizzes,2,2,2,5,4,5,3,5,5,3,5,hybrid,rarely,yes,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events",science,youtube,required for exams,interactive quizzes,5,3,5,1,3,3,5,2,3,5,5,physical,occasionally,yes,cultural events,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","technology, soft skills (communication, leadership)","youtube, linkedin learning",required for exams,live sessions,3,3,2,5,2,5,5,5,5,5,5,online,monthly,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","business & management, soft skills (communication, leadership)","youtube, linkedin learning",based on interest,"interactive quizzes, discussion forums",3,3,3,4,4,4,4,5,5,5,5,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"no, i prefer familiar events","science, soft skills (communication, leadership)","youtube, university lms","based on interest, required for exams","interactive quizzes, live sessions",1,3,3,4,3,4,4,4,5,5,5,hybrid,rarely,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
3rd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","science, business & management",youtube,"recommended by peers, required for exams","discussion forums, live sessions",5,3,3,4,3,5,5,5,3,5,5,hybrid,monthly,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event",science,"youtube, university lms",based on interest,"interactive quizzes, live sessions",1,1,1,3,3,5,3,5,5,3,5,hybrid,monthly,yes,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","science, psychology","youtube, khanacademy",based on interest,"video lectures, discussion forums, live sessions",4,3,3,4,5,5,4,5,4,5,5,physical,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","technology, science","youtube, university lms",based on interest,"video lectures, notes/pdf",4,5,4,4,5,5,4,4,5,4,4,physical,monthly,yes,cultural,4.0,good,no,2.25,0.1842105263157895
3rd year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event",science,"youtube, university lms",based on interest,interactive quizzes,3,3,3,4,4,5,5,5,3,5,5,online,monthly,yes,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event","science, psychology","youtube, khanacademy",based on interest,"video lectures, notes/pdf",5,4,4,5,5,5,4,4,3,3,4,online,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event","science, soft skills (communication, leadership)","youtube, university lms","based on interest, recommended by peers","video lectures, notes/pdf",4,3,4,5,4,4,4,4,3,3,5,hybrid,monthly,yes,academic,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","science, competitive exams / certifications","youtube, university lms",based on interest,"notes/pdf, live sessions",5,4,4,5,5,5,4,4,3,4,5,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
