Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events",technology,university lms,suggested by platform,notes/pdf,4,4,4,4,4,2,3,3,5,4,5,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, psychology, soft skills (communication, leadership)","youtube, linkedin learning, university lms","based on interest, recommended by peers, suggested by platform","video lectures, notes/pdf, live sessions",4,4,4,4,4,3,3,4,5,4,4,hybrid,occasionally,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
2nd year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events",technology,university lms,recommended by peers,notes/pdf,5,4,4,5,4,2,3,5,5,5,5,online,occasionally,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
2nd year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),no preference,"no, i prefer familiar events","technology, psychology","youtube, university lms","based on interest, suggested by platform","video lectures, notes/pdf",5,5,5,5,5,1,4,5,5,5,5,online,occasionally,no,academic,5.0,good,no,3.3,0.7368421052631579
2nd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"yes, i’m open to trying new events",technology,university lms,based on interest,notes/pdf,4,4,4,5,5,1,3,4,5,5,5,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),no preference,"maybe, it depends on the event","science, psychology, soft skills (communication, leadership)","youtube, khanacademy","based on interest, recommended by peers","video lectures, live sessions",4,5,3,3,2,4,3,4,2,5,4,hybrid,rarely,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,below 2.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","technology, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms",recommended by peers,live sessions,4,4,2,5,4,2,4,3,4,5,3,physical,monthly,yes,cultural,4.0,good,no,1.9,0.0
2nd year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","science, competitive exams / certifications",youtube,required for exams,"video lectures, live sessions",4,5,3,2,5,4,3,4,3,5,4,physical,occasionally,yes,sports,3.0,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),no preference,"maybe, it depends on the event","technology, competitive exams / certifications","youtube, university lms","based on interest, required for exams","video lectures, discussion forums, live sessions",5,4,2,3,4,3,4,4,5,3,4,hybrid,rarely,yes,hostel night,3.0,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"no, i prefer familiar events","science, soft skills (communication, leadership)","youtube, khanacademy, university lms","based on interest, required for exams","video lectures, notes/pdf",4,3,3,5,4,4,3,2,3,2,5,online,occasionally,yes,academic,4.0,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"no, i prefer familiar events","technology, competitive exams / certifications",youtube,"based on interest, required for exams",video lectures,1,3,3,2,5,4,2,2,5,4,4,online,monthly,yes,academic,3.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),no preference,"maybe, it depends on the event","psychology, soft skills (communication, leadership)",university lms,based on interest,notes/pdf,2,5,4,5,3,3,4,3,4,4,5,hybrid,rarely,yes,sports,4.0,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),no preference,"maybe, it depends on the event","technology, competitive exams / certifications","youtube, university lms",required for exams,"video lectures, live sessions",3,4,3,2,4,4,2,3,5,2,4,online,occasionally,yes,hackathon,4.0,good,no,2.8,0.4736842105263158
1st year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","technology, science","youtube, khanacademy, university lms","based on interest, required for exams","video lectures, notes/pdf, live sessions",1,3,3,5,3,4,3,3,5,2,4,online,occasionally,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),no preference,"maybe, it depends on the event","business & management, competitive exams / certifications",youtube,based on interest,video lectures,1,3,3,5,3,4,5,3,3,4,4,hybrid,no preference,yes,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),no preference,"no, i prefer familiar events","psychology, soft skills (communication, leadership)","youtube, university lms","based on interest, recommended by peers","video lectures, interactive quizzes",1,3,3,5,3,4,3,4,3,4,5,hybrid,no preference,yes,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),no preference,"no, i prefer familiar events","technology, science, soft skills (communication, leadership)","youtube, linkedin learning, university lms","based on interest, required for exams, random browsing","video lectures, interactive quizzes, live sessions",1,3,2,2,3,4,3,3,5,4,4,hybrid,no preference,yes,social,4.0,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),individual sessions,"maybe, it depends on the event",science,university lms,required for exams,"video lectures, notes/pdf",3,4,4,3,5,5,3,4,4,2,4,hybrid,rarely,yes,academic,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,below 2.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","business & management, soft skills (communication, leadership)",university lms,"recommended by peers, required for exams","notes/pdf, live sessions",5,4,4,5,4,3,3,4,3,5,4,physical,occasionally,yes,academic,4.0,good,no,1.9,0.0
1st year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),individual sessions,"maybe, it depends on the event","technology, science, competitive exams / certifications, soft skills (communication, leadership)","youtube, khanacademy, linkedin learning, university lms","based on interest, required for exams, suggested by platform","video lectures, interactive quizzes, notes/pdf, live sessions",3,5,4,4,3,4,3,2,5,2,4,online,occasionally,yes,academic,3.0,good,no,3.3,0.7368421052631579
1st year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),no preference,"maybe, it depends on the event","science, psychology, soft skills (communication, leadership)",university lms,"based on interest, required for exams","video lectures, notes/pdf",3,5,4,5,4,4,3,3,4,3,5,hybrid,no preference,yes,academic,4.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","business & management, soft skills (communication, leadership)",youtube,required for exams,"video lectures, discussion forums, live sessions",1,2,5,5,4,3,3,2,4,4,5,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
3rd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),no preference,"no, i prefer familiar events","competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms","based on interest, required for exams","video lectures, notes/pdf",4,2,3,5,4,3,5,4,3,4,4,no preference,no preference,yes,academic,3.0,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event",competitive exams / certifications,university lms,"recommended by peers, required for exams","notes/pdf, live sessions",3,4,5,3,4,3,3,4,5,3,4,online,no preference,yes,social,2.0,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event",psychology,university lms,"based on interest, required for exams","video lectures, notes/pdf",4,5,4,2,1,3,4,3,4,5,4,hybrid,rarely,yes,academic,3.0,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"no, i prefer familiar events","technology, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms","based on interest, required for exams, random browsing","video lectures, notes/pdf",4,3,5,3,4,3,4,2,5,3,4,online,rarely,yes,academic,4.0,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","technology, competitive exams / certifications, soft skills (communication, leadership)","youtube, linkedin learning, university lms","based on interest, required for exams, random browsing","video lectures, discussion forums",4,4,3,5,3,4,4,3,5,4,4,physical,occasionally,yes,academic,2.0,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","technology, science, competitive exams / certifications","youtube, coursera, khanacademy, university lms","based on interest, random browsing","video lectures, interactive quizzes",5,4,5,4,2,4,4,3,5,4,3,physical,occasionally,yes,"academic, social",3.0,good,no,2.25,0.1842105263157895
