Timestamp,Year of study,Faculty ,Your GPA Range  ,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events? ,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences? 
04/08/2025 01:06:35,2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Psychology",YouTube,"Based on interest, Required for exams","Video Lectures, Interactive Quizzes",3,3,2,3,4,4,5,5,5,5,4,Hybrid,Occasionally,Yes,,,,
04/08/2025 01:11:05,1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)",University LMS,Required for exams,"Video Lectures, Interactive Quizzes",4,3,4,5,3,4,3,4,5,4,5,Hybrid,Monthly,Yes,Tech events,4,,
04/08/2025 01:17:52,1st Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events","Science, Psychology, Competitive Exams / Certifications","YouTube, University LMS","Based on interest, Recommended by peers","Interactive Quizzes, Live Sessions",2,2,3,2,4,4,3,4,3,2,4,Hybrid,Monthly,No,,,,
04/08/2025 01:25:34,1st Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Soft Skills (Communication, Leadership)",YouTube,Based on interest,"Video Lectures, Notes/PDF",4,2,3,5,4,4,3,3,5,4,5,Hybrid,Monthly,Yes,Career-related,4,,
04/08/2025 01:37:18,2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Business & Management","YouTube, University LMS","Based on interest, Required for exams","Notes/PDF, Live Sessions",4,4,4,5,4,5,3,4,5,3,4,Hybrid,Monthly,Yes,Academic ,4,,
04/08/2025 01:44:19,2nd Year,Applied Sciences,,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","Coursera, LinkedIn Learning","Based on interest, Required for exams","Interactive Quizzes, Notes/PDF, Live Sessions",3,4,4,5,3,5,5,5,3,5,5,Online,Monthly,Yes,,,,
04/08/2025 02:41:00,1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",4,3,3,4,2,5,1,4,2,3,1,Online,Monthly,No,,,,
04/08/2025 02:42:13,1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Psychology","YouTube, Coursera","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",4,3,2,2,2,5,4,2,2,3,2,Physical,Occasionally,No,,,,
04/08/2025 02:43:31,1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS","Based on interest, Required for exams, Random browsing","Video Lectures, Interactive Quizzes, Live Sessions",2,3,2,2,2,5,4,2,3,2,3,Physical,Occasionally,No,,,,
04/08/2025 02:45:46,1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events",Technology,YouTube,Random browsing,Video Lectures,2,2,3,2,1,4,4,2,1,1,1,Hybrid,Monthly,No,,,,
