Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?
3rd Year,Applied Sciences,3.1 – 3.5,Extrovert (I enjoy being with others),Individual sessions,"Maybe, it depends on the event","Science, Business & Management",YouTube,Based on interest,Notes/PDF,4,1,4,2,1,4,4,2,3,2,4,Online,Occasionally,No,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events",Science,YouTube,Based on interest,Notes/PDF,1,1,1,2,1,2,3,2,1,2,2,Physical,Weekly,Yes,Exhibition ,3.0,Good work,No
3rd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),No preference,"Maybe, it depends on the event",Technology,YouTube,"Based on interest, Recommended by peers, Required for exams, Random browsing",Video Lectures,3,5,5,5,2,5,3,3,5,1,5,Hybrid,Occasionally,Yes,Academic,3.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),No preference,"Maybe, it depends on the event",Technology,YouTube,Based on interest,Video Lectures,1,3,4,2,3,3,2,2,2,2,3,Online,Monthly,Yes,Sports ,2.0,Mind refreshing ,No
3rd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Recommended by peers, Required for exams, Random browsing, Suggested by platform","Video Lectures, Interactive Quizzes, Notes/PDF, Discussion Forums, Live Sessions",2,3,2,2,4,4,4,3,4,4,4,Physical,Monthly,Yes,Academic and career related ,5.0,Nothing ,No 
4th Year,Social Sciences & Humanities,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Science, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Required for exams","Interactive Quizzes, Notes/PDF, Live Sessions",3,3,3,4,4,5,5,5,4,4,5,Physical,Occasionally,Yes,"Leader & Leadership workshop, Psychology & counseling short course, Parliamentary short course, Career Fair, Annual Cultural Program ",4.0,It helps us to develop our soft skills through the events. ,- 
Postgraduate,Technology,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science, Psychology, Business & Management, Soft Skills (Communication, Leadership)","YouTube, Coursera, LinkedIn Learning, University LMS","Based on interest, Recommended by peers","Video Lectures, Interactive Quizzes, Notes/PDF, Discussion Forums, Live Sessions",3,3,5,5,3,3,4,3,5,4,5,Hybrid,Monthly,Yes,Cultural,4.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Group activities,"Maybe, it depends on the event","Technology, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Based on interest, Required for exams","Video Lectures, Discussion Forums",5,2,4,5,4,3,2,4,4,5,5,Hybrid,Monthly,Yes,Academic,3.0,Good,No
3rd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Soft Skills (Communication, Leadership)",YouTube,Based on interest,Video Lectures,2,4,4,3,4,3,3,4,4,4,4,Physical,Monthly,Yes,Music events,5.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events",Science,YouTube,Based on interest,Notes/PDF,1,1,3,3,2,2,1,1,1,2,1,Online,No preference,No,Academic,1.0,Good,No
